country,First show_id
""," and probably will."""
", France, Algeria",s366
", South Korea",s194
1944,"Flying Fortress"""
Argentina,s1418
"Argentina, Brazil, France, Poland, Germany, Denmark",s4948
"Argentina, Chile",s1262
"Argentina, Chile, Peru",s7363
"Argentina, France",s4741
"Argentina, France, United States, Germany, Qatar",s8164
"Argentina, Italy",s4860
"Argentina, Spain",s2386
"Argentina, United States",s3719
"Argentina, United States, Mexico",s3288
"Argentina, Uruguay, Serbia",s3092
"Argentina, Uruguay, Spain, France",s5314
"Argentina, Venezuela",s141
Australia,s1005
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",s6234
"Australia, Canada",s3645
"Australia, France",s6092
"Australia, France, Ireland",s7935
"Australia, Germany",s566
"Australia, India",s7938
"Australia, Iraq",s7669
"Australia, New Zealand",s540
"Australia, New Zealand, United States",s2043
"Australia, United Arab Emirates",s5082
"Australia, United Kingdom",s8104
"Australia, United Kingdom, Canada",s8057
"Australia, United Kingdom, United Arab Emirates, Canada",s6211
"Australia, United Kingdom, United States, New Zealand, Italy, France",s8097
"Australia, United States",s1379
Austria,s1721
"Austria, Czech Republic",s5634
"Austria, Germany",s2784
"Austria, Iraq, United States",s4051
"Austria, United States",s8271
Bangladesh,s1338
Belarus,s2239
Belgium,s1197
"Belgium, France",s1259
"Belgium, France, Netherlands",s5852
"Belgium, Ireland, Netherlands, Germany, Afghanistan",s8383
"Belgium, Netherlands",s544
"Belgium, United Kingdom",s284
"Belgium, United Kingdom, United States",s4660
Brazil,s1189
"Brazil, France",s2198
"Brazil, France, Germany",s6489
"Brazil, India, China, United States",s7653
"Brazil, Netherlands, United States, Colombia, Austria, Germany",s6171
"Brazil, United Kingdom",s2828
"Brazil, United States",s3539
Bulgaria,s4944
"Bulgaria, United States",s329
"Bulgaria, United States, Spain, Canada",s6200
Cambodia,s4885
"Cambodia, United States",s5271
Cameroon,s1100
Canada,s1066
"Canada, Australia",s3346
"Canada, Belgium",s1811
"Canada, Brazil",s3862
"Canada, France",s6195
"Canada, France, Italy, Morocco, United States",s6692
"Canada, France, United States",s8019
"Canada, Germany",s3931
"Canada, Germany, France, United States",s4293
"Canada, Germany, South Africa",s5119
"Canada, Hungary, United States",s1436
"Canada, India",s7804
"Canada, India, Thailand, United States, United Arab Emirates",s8739
"Canada, Ireland, United States",s7052
"Canada, Japan, Netherlands",s5678
"Canada, Japan, United States",s4874
"Canada, Luxembourg",s6143
"Canada, Mexico, Germany, South Africa",s7854
"Canada, Nigeria",s2494
"Canada, Nigeria, United States",s1002
"Canada, Norway",s3227
"Canada, South Africa",s2962
"Canada, South Korea, United States",s2378
"Canada, Spain",s7445
"Canada, Spain, France",s6699
"Canada, United Kingdom",s1813
"Canada, United Kingdom, Netherlands",s7017
"Canada, United Kingdom, United States",s1464
"Canada, United States",s1564
"Canada, United States, Cayman Islands",s1425
"Canada, United States, Denmark",s744
"Canada, United States, France",s1363
"Canada, United States, Germany",s7685
"Canada, United States, India, United Kingdom",s8639
"Canada, United States, Ireland",s1697
"Canada, United States, Mexico",s1028
"Canada, United States, United Kingdom",s1285
"Canada, United States, United Kingdom, France, Luxembourg",s7099
Chile,s2345
"Chile, Argentina",s3833
"Chile, Argentina, France, Spain, United States",s7578
"Chile, Brazil",s1267
"Chile, France",s5362
"Chile, Italy",s2323
"Chile, Peru",s4831
"Chile, Spain, Argentina, Germany",s5606
"Chile, United States, France",s5771
China,s1081
"China, Canada, United States",s39
"China, Germany, India, United States",s6433
"China, Hong Kong",s152
"China, Hong Kong, United States",s8033
"China, India, Nepal",s7243
"China, Japan",s4716
"China, Morocco, Hong Kong",s7677
"China, South Korea, United States",s7042
"China, Spain, South Korea, United States",s2208
"China, Taiwan",s1067
"China, United Kingdom",s1050
"China, United States",s1802
"China, United States, Australia",s4790
"China, United States, Canada",s740
"China, United States, United Kingdom",s4761
Colombia,s1233
"Colombia, Mexico",s4811
